unique_id,ds,y,y_hat_naive2
D1,1972-10-03,2039.2,2029.0983307114734
D1,1972-10-04,2035.0,2027.54673615855
D1,1972-10-05,2051.8,2027.6773299677736
D1,1972-10-06,2061.8,2027.2897784122924
D1,1972-10-07,2063.5,2027.1262401673794
D1,1972-10-08,2069.5,2028.7350198856352
D1,1972-10-09,2054.0,2029.7
D1,1972-10-10,2057.0,2029.0983307114734
D1,1972-10-11,2062.8,2027.54673615855
D1,1972-10-12,2066.4,2027.6773299677736
D1,1972-10-13,2067.4,2027.2897784122924
D1,1972-10-14,2071.4,2027.1262401673794
D1,1972-10-15,2083.8,2028.7350198856352
D1,1972-10-16,2080.6,2029.7
D10,1971-11-06,2618.0,2618.203200302585
D10,1971-11-07,2638.6,2620.407829609808
D10,1971-11-08,2648.7,2622.1283942455966
D10,1971-11-09,2656.2,2624.309082672221
D10,1971-11-10,2636.2,2623.85366584232
D10,1971-11-11,2644.2,2621.791863892374
D10,1971-11-12,2672.3,2620.1
D10,1971-11-13,2688.8,2618.203200302585
D10,1971-11-14,2675.3,2620.407829609808
D10,1971-11-15,2672.3,2622.1283942455966
D10,1971-11-16,2623.6,2624.309082672221
D10,1971-11-17,2626.8,2623.85366584232
D10,1971-11-18,2641.7,2621.791863892374
D10,1971-11-19,2589.8,2620.1
D100,1972-10-03,922.67,928.6993561479975
D100,1972-10-04,919.06,930.7714369429289
D100,1972-10-05,921.1,923.371587104262
D100,1972-10-06,920.03,923.4659515512751
D100,1972-10-07,911.36,924.6007544994096
D100,1972-10-08,918.53,925.2019766456185
D100,1972-10-09,913.48,927.38
D100,1972-10-10,927.02,928.6993561479975
D100,1972-10-11,926.92,930.7714369429289
D100,1972-10-12,930.38,923.371587104262
D100,1972-10-13,935.27,923.4659515512751
D100,1972-10-14,928.65,924.6007544994096
D100,1972-10-15,918.45,925.2019766456185
D100,1972-10-16,911.93,927.38
D1000,1972-11-18,1648.9,1658.1812023022433
D1000,1972-11-19,1621.11,1658.8784579362764
D1000,1972-11-20,1645.47,1655.5343585318208
D1000,1972-11-21,1629.8,1657.941422129749
D1000,1972-11-22,1659.74,1654.328083548134
D1000,1972-11-23,1668.44,1658.5869244410922
D1000,1972-11-24,1700.29,1660.4400000000003
D1000,1972-11-25,1691.09,1658.1812023022433
D1000,1972-11-26,1692.47,1658.8784579362764
D1000,1972-11-27,1688.36,1655.5343585318208
D1000,1972-11-28,1693.95,1657.941422129749
D1000,1972-11-29,1683.52,1654.328083548134
D1000,1972-11-30,1691.8,1658.5869244410922
D1000,1972-12-01,1710.58,1660.4400000000003
D101,1972-10-03,11930.3,11982.910716878676
D101,1972-10-04,12082.2,11982.64223471113
D101,1972-10-05,12330.2,11973.44105782463
D101,1972-10-06,12334.6,11977.232968782953
D101,1972-10-07,12283.6,11966.710655140447
D101,1972-10-08,12338.6,11964.207508844724
D101,1972-10-09,12581.7,11978.3
D101,1972-10-10,12897.0,11982.910716878676
D101,1972-10-11,12736.4,11982.64223471113
D101,1972-10-12,12740.9,11973.44105782463
D101,1972-10-13,12669.3,11977.232968782953
D101,1972-10-14,12378.4,11966.710655140447
D101,1972-10-15,12466.6,11964.207508844724
D101,1972-10-16,12633.5,11978.3
D102,1972-10-03,1614.18,1620.9516151990408
D102,1972-10-04,1634.73,1621.0093350833286
D102,1972-10-05,1668.28,1619.8857759895668
D102,1972-10-06,1668.88,1620.3108752964613
D102,1972-10-07,1661.97,1618.8829848357257
D102,1972-10-08,1669.42,1618.6198584682393
D102,1972-10-09,1702.31,1620.67
D102,1972-10-10,1744.97,1620.9516151990408
D102,1972-10-11,1723.24,1621.0093350833286
D102,1972-10-12,1723.85,1619.8857759895668
D102,1972-10-13,1714.17,1620.3108752964613
D102,1972-10-14,1674.8,1618.8829848357257
D102,1972-10-15,1686.27,1618.6198584682393
D102,1972-10-16,1708.85,1620.67
D103,1972-10-03,7259.7,7169.607981910744
D103,1972-10-04,7311.2,7183.103299134128
D103,1972-10-05,7350.9,7190.2334503970405
D103,1972-10-06,7339.5,7206.584497420984
D103,1972-10-07,7408.1,7189.111169315161
D103,1972-10-08,7412.0,7167.2296705661265
D103,1972-10-09,7417.6,7165.8
D103,1972-10-10,7406.6,7169.607981910744
D103,1972-10-11,7390.4,7183.103299134128
D103,1972-10-12,7304.8,7190.2334503970405
D103,1972-10-13,7340.5,7206.584497420984
D103,1972-10-14,7300.8,7189.111169315161
D103,1972-10-15,7340.0,7167.2296705661265
D103,1972-10-16,7318.5,7165.8
D104,1972-10-03,9226.1,9238.158420334332
D104,1972-10-04,9201.8,9252.315011063112
D104,1972-10-05,9022.2,9259.518838364891
D104,1972-10-06,8946.1,9275.635463086099
D104,1972-10-07,8922.6,9266.64772886585
D104,1972-10-08,8967.1,9247.279540726158
D104,1972-10-09,8979.2,9240.3
D104,1972-10-10,9071.3,9238.158420334332
D104,1972-10-11,8983.4,9252.315011063112
D104,1972-10-12,8959.8,9259.518838364891
D104,1972-10-13,8950.2,9275.635463086099
D104,1972-10-14,8967.4,9266.64772886585
D104,1972-10-15,8929.7,9247.279540726158
D104,1972-10-16,8926.2,9240.3
D105,1972-10-03,11079.7,11083.252878578352
D105,1972-10-04,10920.5,11077.297846138645
D105,1972-10-05,10862.1,11053.173102518042
